task_id,source_id,source_type,model_path,notes
task035,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task035.onnx,GOLF_20260607_001_public_6154_repro
task036,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task036.onnx,GOLF_20260607_001_public_6154_repro
task037,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task037.onnx,GOLF_20260607_001_public_6154_repro
task038,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task038.onnx,GOLF_20260607_001_public_6154_repro
task039,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task039.onnx,GOLF_20260607_001_public_6154_repro
task040,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task040.onnx,GOLF_20260607_001_public_6154_repro
task041,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task041.onnx,GOLF_20260607_001_public_6154_repro
task042,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task042.onnx,GOLF_20260607_001_public_6154_repro
task043,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task043.onnx,GOLF_20260607_001_public_6154_repro
task044,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task044.onnx,GOLF_20260607_001_public_6154_repro
task045,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task045.onnx,GOLF_20260607_001_public_6154_repro
task046,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task046.onnx,GOLF_20260607_001_public_6154_repro
task047,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task047.onnx,GOLF_20260607_001_public_6154_repro
task048,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task048.onnx,GOLF_20260607_001_public_6154_repro
task049,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task049.onnx,GOLF_20260607_001_public_6154_repro
task050,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task050.onnx,GOLF_20260607_001_public_6154_repro
task051,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task051.onnx,GOLF_20260607_001_public_6154_repro
task052,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task052.onnx,GOLF_20260607_001_public_6154_repro
task053,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task053.onnx,GOLF_20260607_001_public_6154_repro
task054,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task054.onnx,GOLF_20260607_001_public_6154_repro
task055,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task055.onnx,GOLF_20260607_001_public_6154_repro
task056,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task056.onnx,GOLF_20260607_001_public_6154_repro
task057,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task057.onnx,GOLF_20260607_001_public_6154_repro
task058,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task058.onnx,GOLF_20260607_001_public_6154_repro
task059,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task059.onnx,GOLF_20260607_001_public_6154_repro
task060,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task060.onnx,GOLF_20260607_001_public_6154_repro
task061,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task061.onnx,GOLF_20260607_001_public_6154_repro
task062,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task062.onnx,GOLF_20260607_001_public_6154_repro
task063,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task063.onnx,GOLF_20260607_001_public_6154_repro
task064,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task064.onnx,GOLF_20260607_001_public_6154_repro
task065,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task065.onnx,GOLF_20260607_001_public_6154_repro
task066,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task066.onnx,GOLF_20260607_001_public_6154_repro
task067,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task067.onnx,GOLF_20260607_001_public_6154_repro
task068,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task068.onnx,GOLF_20260607_001_public_6154_repro
task069,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task069.onnx,GOLF_20260607_001_public_6154_repro
task070,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task070.onnx,GOLF_20260607_001_public_6154_repro
task071,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task071.onnx,GOLF_20260607_001_public_6154_repro
task072,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task072.onnx,GOLF_20260607_001_public_6154_repro
task073,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task073.onnx,GOLF_20260607_001_public_6154_repro
task074,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task074.onnx,GOLF_20260607_001_public_6154_repro
task075,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task075.onnx,GOLF_20260607_001_public_6154_repro
task076,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task076.onnx,GOLF_20260607_001_public_6154_repro
task077,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task077.onnx,GOLF_20260607_001_public_6154_repro
task078,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task078.onnx,GOLF_20260607_001_public_6154_repro
task079,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task079.onnx,GOLF_20260607_001_public_6154_repro
task080,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task080.onnx,GOLF_20260607_001_public_6154_repro
task081,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task081.onnx,GOLF_20260607_001_public_6154_repro
task082,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task082.onnx,GOLF_20260607_001_public_6154_repro
task083,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task083.onnx,GOLF_20260607_001_public_6154_repro
task084,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task084.onnx,GOLF_20260607_001_public_6154_repro
task085,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task085.onnx,GOLF_20260607_001_public_6154_repro
task086,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task086.onnx,GOLF_20260607_001_public_6154_repro
task087,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task087.onnx,GOLF_20260607_001_public_6154_repro
task088,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task088.onnx,GOLF_20260607_001_public_6154_repro
task089,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task089.onnx,GOLF_20260607_001_public_6154_repro
task090,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task090.onnx,GOLF_20260607_001_public_6154_repro
task091,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task091.onnx,GOLF_20260607_001_public_6154_repro
task092,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task092.onnx,GOLF_20260607_001_public_6154_repro
task093,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task093.onnx,GOLF_20260607_001_public_6154_repro
task094,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task094.onnx,GOLF_20260607_001_public_6154_repro
task095,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task095.onnx,GOLF_20260607_001_public_6154_repro
task096,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task096.onnx,GOLF_20260607_001_public_6154_repro
task097,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task097.onnx,GOLF_20260607_001_public_6154_repro
task098,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task098.onnx,GOLF_20260607_001_public_6154_repro
task099,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task099.onnx,GOLF_20260607_001_public_6154_repro
task100,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task100.onnx,GOLF_20260607_001_public_6154_repro
task101,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task101.onnx,GOLF_20260607_001_public_6154_repro
task102,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task102.onnx,GOLF_20260607_001_public_6154_repro
task103,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task103.onnx,GOLF_20260607_001_public_6154_repro
task104,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task104.onnx,GOLF_20260607_001_public_6154_repro
task105,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task105.onnx,GOLF_20260607_001_public_6154_repro
task106,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task106.onnx,GOLF_20260607_001_public_6154_repro
task107,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task107.onnx,GOLF_20260607_001_public_6154_repro
task108,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task108.onnx,GOLF_20260607_001_public_6154_repro
task109,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task109.onnx,GOLF_20260607_001_public_6154_repro
task110,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task110.onnx,GOLF_20260607_001_public_6154_repro
task111,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task111.onnx,GOLF_20260607_001_public_6154_repro
task112,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task112.onnx,GOLF_20260607_001_public_6154_repro
task113,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task113.onnx,GOLF_20260607_001_public_6154_repro
task114,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task114.onnx,GOLF_20260607_001_public_6154_repro
task115,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task115.onnx,GOLF_20260607_001_public_6154_repro
task116,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task116.onnx,GOLF_20260607_001_public_6154_repro
task117,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task117.onnx,GOLF_20260607_001_public_6154_repro
task118,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task118.onnx,GOLF_20260607_001_public_6154_repro
task119,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task119.onnx,GOLF_20260607_001_public_6154_repro
task120,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task120.onnx,GOLF_20260607_001_public_6154_repro
task121,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task121.onnx,GOLF_20260607_001_public_6154_repro
task122,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task122.onnx,GOLF_20260607_001_public_6154_repro
task123,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task123.onnx,GOLF_20260607_001_public_6154_repro
task124,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task124.onnx,GOLF_20260607_001_public_6154_repro
task125,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task125.onnx,GOLF_20260607_001_public_6154_repro
task126,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task126.onnx,GOLF_20260607_001_public_6154_repro
