task_id,present_in_public_zip,missing_reason,source_id,source_notebook,output_file_sha256,size_bytes,notes
task011,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,ea2829ba3167c59c28c8b60f318e96dd9bc0405ef84b3c4e2ab6e644cac248ae,2982,public 7015 notebook output task file
task012,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,9e04ad29487dbe2a13c7f85b1ca9a3fc957b10a92e67d91b85415a2a9548778e,2795,public 7015 notebook output task file
task013,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,350d7e0a0f62f04c11a3fdd5874bfa4fe44d493277d0008b3a2608dd38171e24,4593,public 7015 notebook output task file
task014,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,df78f43a9365ce78139ced933168b6afc75595dcc346196cfa332c229d0be3e5,4534,public 7015 notebook output task file
task015,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,5c349df404e7b8382b1cc60a3f1b0bbfee453f6c1a2a5dd854393466ab0f39ec,1705,public 7015 notebook output task file
task016,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,2d9e1ec809a09a2bd9193e71d31c74d7ff84c9a3f5c897e3c4d459655eed9296,193,public 7015 notebook output task file
task017,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,3729c983e9d24f540195cf2228556d477678d810f4d6a9d5cc491773fed963e9,10421,public 7015 notebook output task file
task018,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,3027c3dea5e22df7ea707ea268664f786bf84bd7c1c21a8ac03923bd09fdc20e,85762,public 7015 notebook output task file
task019,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,6664dad147d2dd5aa96f1d9a2a2675ab98c017970ee21f3663c806e777c34346,4408,public 7015 notebook output task file
task020,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,1dc4b758d8dd872adeeccf346d29b462d77d9256f0576369840af27a514cf7b7,4521,public 7015 notebook output task file
task021,false,not included in public 395-file output,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,,,Kaggle accepted original public output despite missing task file
task022,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,3d4f65133a72e7a6b94f1b2f325f8626658a63c1b4bd18a2639ecb7be538d840,3677,public 7015 notebook output task file
task023,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,ebbdb542168ecaddccbd12c52f64399b08dea1eff69384a9ecd0fb7b69c885b0,8875,public 7015 notebook output task file
task024,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,58e44e897772468fa8bc5e2c135814ce49d0fd98ad30d6639e107bdb16f4a6af,720,public 7015 notebook output task file
task025,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,a1a84587278ba1a2bf7b1d61f9c0603e46394aa2134b4c57afb838666e9e003d,5099,public 7015 notebook output task file
task026,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,cad3493d1882e587c1667ce1b4797c2692ad843221d4e0f20b935d6cdd8aab2f,1016,public 7015 notebook output task file
task027,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,dba1d53af49771f191466f505b2f9dfb6ca75061d676886cb7ceb226c15cc39e,1929,public 7015 notebook output task file
task028,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,70d055d527158aa58d649de095e8f8c932b6852fae95be66a3dd6f1a1c5baedb,963,public 7015 notebook output task file
task029,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,e864622f6c5ca63bca4977c2fd795f93fe73b9609892b80ed296b636b988000a,3313,public 7015 notebook output task file
task030,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,d3a9629c98620e7f3a2b8576beb285af50d80e115cd4a769ba03624fa332dc77,3088,public 7015 notebook output task file
task031,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,98c2f1ef1375125702fe7e62a4c84df22910337a30087ef540767c45ef3cd9a0,3783,public 7015 notebook output task file
task032,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,ceb4063280bf7df98b687efafb01b5fdedc714737f65b70a50c4a70a941c330a,3828,public 7015 notebook output task file
task033,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,aa9357a8f5fca19d81a770db89eccf1e5fbed345d52ef426096832c34f6c15a8,2686,public 7015 notebook output task file
task034,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,efc1a04231a27deb7526ea1ea8f9563f0f1ae66f58a1f81427e79ab065b9aa18,3021,public 7015 notebook output task file
task035,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,78f6ddc377836ce17d34fb019dae546e16f508f5d7f2dcf1859efac0c7f0e754,6755,public 7015 notebook output task file
task036,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,44fba614f66382d1078ceb883979570a3d9780ce758d8bf87b5b29fe802fff4d,2672,public 7015 notebook output task file
task037,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,d7fae58854a549ee6b3bd51ac32106ce86dd885faae471571f2da1c6d834999f,3399,public 7015 notebook output task file
task038,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,c4776de59a95731af1b97ef08b61bd62db867c2ddd6b9d2039ce294a0817b7de,892,public 7015 notebook output task file
task039,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,a6f276c32e372cf8e51ca3034453f924cb480610a8607a5ce52d19bbd4dca813,1055,public 7015 notebook output task file
task040,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,f335f4b5e01fb9e2c9610e63b72f9db3b4d4f4fba79cb92436db36ca4f9c6d0b,1572,public 7015 notebook output task file
task041,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,ae98229fd77802bde674cadcfcbc8d633c744c1bf7e6f29d6b73bda68b948d0c,1381,public 7015 notebook output task file
task042,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,750708a9a5332fbd8c065a17348a4b924a31c866117c6b9319e896e0ab2b652c,1830,public 7015 notebook output task file
task043,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,bc5e37986512a8df40d696ccb1cf91cd14b40ce53c943315c698e6c651da0e77,1519,public 7015 notebook output task file
task044,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,b905fab1b2e858781a6474e06340226ee66fce7dc7e5f16285deac739d43733a,17102,public 7015 notebook output task file
task045,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,705abb769fa43025f5378bca53c2cd10771ac88312406183cbbf4d7c9a840689,2970,public 7015 notebook output task file
task046,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,bf5f003c44b67d284c59880db72d75b26c926a317f63cf9cf453c23a33c1fed1,7726,public 7015 notebook output task file
task047,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,7a9b76d46fa67b896ead9c80c3c13e8a408bb0d969aa6c4054fb74c6bb0caf58,2305,public 7015 notebook output task file
task048,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,8caab46851ef47955d7c7219f177d16f8f7a5acfe14c2e4cf4b52ca8a983ef3b,7132,public 7015 notebook output task file
task049,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,1926df13146ad078c6a128ef79267fa72129b2e6918c8e59305c6850a64ab4ee,2239,public 7015 notebook output task file
task050,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,647c6c07e51d261894eae431fbb8abc5e20a9ac6840dc366eb5dcf034bd1fbbc,1721,public 7015 notebook output task file
task051,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,5567f64beed7e5668004a6d09d1fadee58cfa818dfb2cd285d361da266427ab4,3212,public 7015 notebook output task file
task052,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,d7b303424b2bd257b3044e6cfd3b4c4599329029f9d3e80625f823d4d5530bb4,944,public 7015 notebook output task file
task053,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,60b0cc9cc4c1370f8dda39b3c886378f02691a0012d61bb0492fea0ad3e8a540,397,public 7015 notebook output task file
task054,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,07477b1783d69ed890880873492814b6cbf7a67644ef123077f5ed526c09ce42,31346,public 7015 notebook output task file
task055,false,not included in public 395-file output,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,,,Kaggle accepted original public output despite missing task file
task056,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,a5d7b219941d1f76d28f1a9315c0e6e964a5b9902a851c8055464c5060a15fc5,859,public 7015 notebook output task file
task057,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,cb0320957f8280498ce363280dac5110fa977cd41c94e7e44668d34bb6412224,1367,public 7015 notebook output task file
task058,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,98fb28e554a23b659107872cd9cc30f259eea1b05e8f8fd438dfae64d27a1fc0,6763,public 7015 notebook output task file
task059,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,976596a9df0fd3a2bc6840ef0a5b63ccce8a544a3b68f4a7c8dd9ee3e76fcaa0,2038,public 7015 notebook output task file
task060,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,27e18f887f20e0133d5f239bdc270687b6464349f0fd8dfd9db6cf438f89272f,4221,public 7015 notebook output task file
task061,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,ca895cf016d83d9fdbcadf4e03a66caa491ec02314138a789a56ccd0a62addcd,875,public 7015 notebook output task file
task062,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,d9a92f2e416e510033ae29279ced0d5b15a21991aadf73373b7452fdc11f5b19,4117,public 7015 notebook output task file
task063,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,71c1570952a250cb74c5961297b3db37e69cba4ee6d1f9d64fe8eaec393c6910,2410,public 7015 notebook output task file
task064,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,1c0001f17f5e4338f315d50438f0c78a9d9b33d3113cbb890c60106b186bfaee,5560,public 7015 notebook output task file
task065,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,9db27fca5c1383b63ec15710657512aeff75a87392c3773c2b00a98c2805e155,2192,public 7015 notebook output task file
task066,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,52a7ce7854d1c89fc3fadce78cc4fcd3f0f4cc28fe18da2dea6e84d5c5a064a3,36786,public 7015 notebook output task file
task067,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,4e3a67d23c2347daefc176985ee779797cdb2fd159f7a652d0c866f84ac26c71,296,public 7015 notebook output task file
task068,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,4dff0626d4da16c33bac4c0edd9a6b73856b403fcb124505fedd4dadbedc15ca,1693,public 7015 notebook output task file
task069,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,637d51c1cb131e0d30d05476637ec45ab588604b9463ed72c113ba13ca609ec2,6846,public 7015 notebook output task file
task070,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,f06e034ce99c680498f5834c66ebe091adf339a30b3f6b4866e9e5fe07b6d86c,1062,public 7015 notebook output task file
task071,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,0541e664309a4fd48599f37108d6358e3edeedf742ee93a769339dfad26ac343,3829,public 7015 notebook output task file
task072,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,c4fcd4c3f9fc186b44d4f723ae3d94067131b39cdcd4c25329546a7cee4b0102,446,public 7015 notebook output task file
task073,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,e4316bf775feba0bc9dc82c0472b0b990aefde5fb40341dc51ca6d6f221e9fac,371,public 7015 notebook output task file
task074,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,21eb5587fef3bd64b55f845386fb89c12789cef2c04b73b4ad4bdccdcc22f86b,15506,public 7015 notebook output task file
task075,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,597d643e5bf0921ab6030007e6242e77feb12b000c0e392b7fe40296a9bae887,1697,public 7015 notebook output task file
task076,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,92a3a1023be8edbf8ebff2a72624d3b5ab34d0689214525fc11f894a2ad3cdc4,26159,public 7015 notebook output task file
task077,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,aed2e5bc17890c065612d59a71aa6748b8bd0b4326c851957f4a67d0448c34d7,3449,public 7015 notebook output task file
task078,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,77e11fc3917cd26fbf1afb7e950e01085b8062e512eb928ab602925f9e47e367,1132,public 7015 notebook output task file
task079,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,134d794ee78ec0ef1fc4a1424e353d929a3ef6228f78d96784def4f7042c103c,4191,public 7015 notebook output task file
task080,false,not included in public 395-file output,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,,,Kaggle accepted original public output despite missing task file
task081,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,38ec9f3fe8fb654ba69cc258a2f163709366d5da6aad62a98a3cec6cb57433f1,821,public 7015 notebook output task file
task082,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,e050837db177e7d6b2e5ad5c4cd76bcf19e85a0aedf3fc265056d75870d80446,989,public 7015 notebook output task file
task083,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,36ab0991355c46b97f51e490069283f55d4d5b2c51eeca6c9d73c2e254357cda,1325,public 7015 notebook output task file
task084,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,d7217e0bb5b86f0ff7eadc683a638b071dfccaf37f8099c59053531ef3d91aa0,1679,public 7015 notebook output task file
task085,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,c3c08cc90d94cf5787f5bccf0188489a5e896c42fcf8e677e754b2fc64ca4bd9,3853,public 7015 notebook output task file
task086,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,bfc478d61af62f345e4324a771a774d2619bae148a5d8c279b1f7ff5af88c073,4355,public 7015 notebook output task file
task087,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,f7ba1e69db7e44ed9c83df319058fd68957d6ab94147ecd9a34d734cb1bbb711,640,public 7015 notebook output task file
task088,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,4b3fb33cb0edb9f1a94dd71226b12073656e8298f0b43d727cfa8576c0fcad74,3349,public 7015 notebook output task file
task089,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,94b4fe703ddacbcb7e1a3ccdc7d87c341d14e8610b2ab420ae92b4c4cb00a0d6,6860,public 7015 notebook output task file
task090,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,ef9a09cb6399156e0a67c7aac67c0921f648c98a1b35ff94affb36c556b99a62,35111,public 7015 notebook output task file
task091,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,4ff543db4a41012d774324fb6fe39dfbe2a12613c9dcb1228b1405d0f14e733c,4910,public 7015 notebook output task file
task092,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,ce69854ff3c23fcbb51404c1b9b1857689985f4adf5c52fc25e888b225e73b69,6521,public 7015 notebook output task file
task093,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,4b1f4a6426ebe7eedd4d1a547cf71450e8793a35dea52f23546bba24340c5ccb,4845,public 7015 notebook output task file
task094,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,343928083981764d04f9066104f462f035c78dc7d08efcfacb6689f5675a6cbf,1623,public 7015 notebook output task file
task095,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,e3212af213f8b2799ceaa19a24ec62248dfb084bf6216535e58cb6020a2e8f7d,587,public 7015 notebook output task file
task096,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,64aa7c97361135efd1916508b448f523e5731acea606f3c14f3062b4203cf0f5,12556,public 7015 notebook output task file
task097,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,e11f658842029acf14bc7f02675371d143c017e0709af40a14889bf685d7340e,3829,public 7015 notebook output task file
task098,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,5aad8d8ffb260eb0c90abfb93e28e88c772f7afee8bdf4d318e99c3266a1209c,3794,public 7015 notebook output task file
task099,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,f9529f403c212bd89a424ead6487b6c6a7e23f3bb0ebe14b817d9baf89307c64,7975,public 7015 notebook output task file
task100,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,f571aa391aeb0642b0d18ecfc9208a5aa3d243130aff1ee356a73c15966b02ad,2501,public 7015 notebook output task file
task101,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,bcee9551d99cf960063a033de6296abfe42c05cb1f407a9c1387b9a4e4b44372,33390,public 7015 notebook output task file
task102,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,22ad045903cba5b5ed2617127a1ed8cf94e637ae0689f7b6253770f78bd8b7b7,1861,public 7015 notebook output task file
task103,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,efcd43b5ad14b6c5b1d8d0763306a9b00ea9032fb168a4813004a36e2c6b99fd,411,public 7015 notebook output task file
task104,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,937eaaa6f714b27c62c752203b35a09120d9c2f576caff25063e8c2db005afcd,1443,public 7015 notebook output task file
task105,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,3ad55c242f3511f93cca1efc275b987cc81e5e253e4ea6294f76dd699f9a3fd9,10339,public 7015 notebook output task file
task106,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,fdacaab0df9f70641978f7db48f0bd1ad60051e6f54ec8df771c7d4896d7174c,1359,public 7015 notebook output task file
task107,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,5b32b87f6d6aef0e94a81f48e986c6ffe22cac9fa7d2411913db1cfbe2816191,11832,public 7015 notebook output task file
task108,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,f568a4d536eaa040f27501308f6d2856c53b69b88b37aee9ab42afa9703da6e7,974,public 7015 notebook output task file
task109,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,417a809c1d2a9c86f10626e0ff578fcc473ce7467dce11928146b03910a828e4,2572,public 7015 notebook output task file
task110,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,85f596f93dad8ec19952ac684de973999bcc4a3837c3a2def97fed9a519c5d4f,6230,public 7015 notebook output task file
task111,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,a5ff3fdfeb73e6f117fd31c3a9b5541451d29b5b7eb575a353ebd85deedbefa8,1010,public 7015 notebook output task file
task112,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,06277530549328ef7c3fa022e0a055777dbac94aacdd82d156568892bc0070bb,4034,public 7015 notebook output task file
task113,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,35a39bc040970b81a69fe3c95959f327893c290979f6996c8e0f71db2502258d,321,public 7015 notebook output task file
task114,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,73a3da0a6b40bf1ac49e7095185ec632fd838bc9a57322d5876e09d66f28afbd,3835,public 7015 notebook output task file
task115,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,934563abdff36878d81ce578a85e2022d1231335e8f57c0ccd7ca83f67d3fdf8,3419,public 7015 notebook output task file
task116,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,f57bc7cb8e24efba5c6f692737ffaca9f1be5466cd79d235b042a6f84fc9d1d8,266,public 7015 notebook output task file
task117,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,ae9954fbfdade3d234a17817b881e6745b021f7760d8863632211fb105a7c675,5063,public 7015 notebook output task file
task118,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,4549d244c74f30fd2d4941104abffc2256212728b3222d7d4d7ae0b1bdd2d2e6,40440,public 7015 notebook output task file
task119,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,0c83e6d25793dd851e59bb18146fd097555c1cb25834b40cae80e0fe295337ec,4683,public 7015 notebook output task file
task120,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,eb3ffdb92f73a07885e28c9c854599a7a64da2ae4d978c39abe2506e11201ec2,3840,public 7015 notebook output task file
task121,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,65b95f2297ffe024717a9ab6928fafcc244a2cf54cfb0489223c125edb2740f2,2806,public 7015 notebook output task file
task122,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,9d256b458e31da4423eee2f1c90ac42204a8e573ea622c1b679c25865828eabf,3470,public 7015 notebook output task file
task123,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,ca514894ab5c40bdacf0ede13d506b936f227201d686d32974c965361c7d2ffa,4960,public 7015 notebook output task file
task124,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,26b8e6ed0bf7af2854fdb0a212b36b36330a4412f71ab683aa5681c557ac0ab7,2689,public 7015 notebook output task file
task125,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,31e9c6926235af578469115777db7fb3aa2812ed0d683f2edc93558bb6d1a52d,1405,public 7015 notebook output task file
task126,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,9237cc39bcc3eebc6e19bed132bb01c0083932c9323f8dd68f8082fe28f2d5d8,1334,public 7015 notebook output task file
task127,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,2421f9f0f87224c60a248e8d2e6577324615aef1a990193582137234da46f320,1009,public 7015 notebook output task file
task128,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,9aa8aeba983f03c0037fc4a62a8f7a46a43e3056fd22b6998b7f4671fdcf4bf7,2157,public 7015 notebook output task file
task129,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,0a5f6e5eabed3dbd3b710c59c3dc4379fb147540f4700b58d5165bc519e4e958,298,public 7015 notebook output task file
