task_id,candidate_model_path,model_path,source_id,source_exp_id,method_family,memory_footprint,parameter_count,file_size,cost_proxy,utility_proxy,local_valid,risk,candidate_rank,recommended_action
task011,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task011.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task011.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,11071,,,true,high,11,submit_afr1ste_compress_rewrite_structural_mix
task012,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task012.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task012.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,4591,,,true,high,12,submit_afr1ste_compress_rewrite_structural_mix
task013,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task013.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task013.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,5822,,,true,high,13,submit_afr1ste_compress_rewrite_structural_mix
task014,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task014.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task014.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,3943,,,true,high,14,submit_afr1ste_compress_rewrite_structural_mix
task015,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task015.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task015.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,4049,,,true,high,15,submit_afr1ste_compress_rewrite_structural_mix
task016,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task016.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task016.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,171,,,true,high,16,submit_afr1ste_compress_rewrite_structural_mix
task017,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task017.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task017.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,22833,,,true,high,17,submit_afr1ste_compress_rewrite_structural_mix
task018,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task018.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task018.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,28767,,,true,high,18,submit_afr1ste_compress_rewrite_structural_mix
task019,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task019.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task019.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,5367,,,true,high,19,submit_afr1ste_compress_rewrite_structural_mix
task020,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task020.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task020.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,11927,,,true,high,20,submit_afr1ste_compress_rewrite_structural_mix
task021,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task021.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task021.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,29942,,,true,high,21,submit_afr1ste_compress_rewrite_structural_mix
task022,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task022.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task022.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,51327,,,true,high,22,submit_afr1ste_compress_rewrite_structural_mix
task023,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task023.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task023.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,2795,,,true,high,23,submit_afr1ste_compress_rewrite_structural_mix
task024,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task024.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task024.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,2663,,,true,high,24,submit_afr1ste_compress_rewrite_structural_mix
task025,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task025.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task025.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,5476,,,true,high,25,submit_afr1ste_compress_rewrite_structural_mix
task026,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task026.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task026.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,2081,,,true,high,26,submit_afr1ste_compress_rewrite_structural_mix
task027,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task027.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task027.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,31982,,,true,high,27,submit_afr1ste_compress_rewrite_structural_mix
task028,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task028.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task028.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,3893,,,true,high,28,submit_afr1ste_compress_rewrite_structural_mix
task029,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task029.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task029.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,56072,,,true,high,29,submit_afr1ste_compress_rewrite_structural_mix
task030,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task030.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task030.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,5691,,,true,high,30,submit_afr1ste_compress_rewrite_structural_mix
task031,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task031.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task031.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,3090,,,true,high,31,submit_afr1ste_compress_rewrite_structural_mix
task032,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task032.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task032.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,2027,,,true,high,32,submit_afr1ste_compress_rewrite_structural_mix
task033,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task033.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task033.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,5527,,,true,high,33,submit_afr1ste_compress_rewrite_structural_mix
task034,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task034.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task034.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,29106,,,true,high,34,submit_afr1ste_compress_rewrite_structural_mix
task035,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task035.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task035.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,10209,,,true,high,35,submit_afr1ste_compress_rewrite_structural_mix
task036,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task036.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task036.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,4524,,,true,high,36,submit_afr1ste_compress_rewrite_structural_mix
task037,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task037.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task037.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,10667,,,true,high,37,submit_afr1ste_compress_rewrite_structural_mix
task039,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task039.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task039.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,5364,,,true,high,38,submit_afr1ste_compress_rewrite_structural_mix
task040,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task040.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task040.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,4806,,,true,high,39,submit_afr1ste_compress_rewrite_structural_mix
task041,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task041.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task041.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,1297,,,true,high,40,submit_afr1ste_compress_rewrite_structural_mix
task042,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task042.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task042.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,17772,,,true,high,41,submit_afr1ste_compress_rewrite_structural_mix
task043,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task043.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task043.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,1754,,,true,high,42,submit_afr1ste_compress_rewrite_structural_mix
task044,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task044.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task044.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,21922,,,true,high,43,submit_afr1ste_compress_rewrite_structural_mix
task045,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task045.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task045.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,1884,,,true,high,44,submit_afr1ste_compress_rewrite_structural_mix
task046,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task046.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task046.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,9524,,,true,high,45,submit_afr1ste_compress_rewrite_structural_mix
task047,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task047.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task047.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,1841,,,true,high,46,submit_afr1ste_compress_rewrite_structural_mix
task048,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task048.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task048.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,109401,,,true,high,47,submit_afr1ste_compress_rewrite_structural_mix
task049,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task049.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task049.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,3943,,,true,high,48,submit_afr1ste_compress_rewrite_structural_mix
task050,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task050.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task050.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,2241,,,true,high,49,submit_afr1ste_compress_rewrite_structural_mix
task051,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task051.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task051.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,8547,,,true,high,50,submit_afr1ste_compress_rewrite_structural_mix
task053,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task053.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task053.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,167,,,true,high,51,submit_afr1ste_compress_rewrite_structural_mix
task054,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task054.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task054.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,9293,,,true,high,52,submit_afr1ste_compress_rewrite_structural_mix
task055,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task055.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task055.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,17394,,,true,high,53,submit_afr1ste_compress_rewrite_structural_mix
task057,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task057.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task057.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,2423,,,true,high,54,submit_afr1ste_compress_rewrite_structural_mix
task059,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task059.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task059.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,3568,,,true,high,55,submit_afr1ste_compress_rewrite_structural_mix
task060,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task060.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task060.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,5432,,,true,high,56,submit_afr1ste_compress_rewrite_structural_mix
task062,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task062.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task062.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,18051,,,true,high,57,submit_afr1ste_compress_rewrite_structural_mix
task063,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task063.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task063.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,2591,,,true,high,58,submit_afr1ste_compress_rewrite_structural_mix
task064,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task064.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task064.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,5055,,,true,high,59,submit_afr1ste_compress_rewrite_structural_mix
task065,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task065.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task065.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,7193,,,true,high,60,submit_afr1ste_compress_rewrite_structural_mix
task066,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task066.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task066.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,22609,,,true,high,61,submit_afr1ste_compress_rewrite_structural_mix
task067,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task067.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task067.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,1345,,,true,high,62,submit_afr1ste_compress_rewrite_structural_mix
task068,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task068.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task068.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,2301,,,true,high,63,submit_afr1ste_compress_rewrite_structural_mix
task069,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task069.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task069.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,37054,,,true,high,64,submit_afr1ste_compress_rewrite_structural_mix
task070,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task070.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task070.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,7805,,,true,high,65,submit_afr1ste_compress_rewrite_structural_mix
task071,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task071.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task071.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,11741,,,true,high,66,submit_afr1ste_compress_rewrite_structural_mix
task072,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task072.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task072.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,2153,,,true,high,67,submit_afr1ste_compress_rewrite_structural_mix
task073,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task073.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task073.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,4049,,,true,high,68,submit_afr1ste_compress_rewrite_structural_mix
task074,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task074.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task074.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,1846,,,true,high,69,submit_afr1ste_compress_rewrite_structural_mix
