task_id,train_examples,detected_rule_count,eligible_rule_count,best_rule_name,status,notes
task210,3,0,0,,no_simple_rule,
task211,3,0,0,,no_simple_rule,
task212,2,0,0,,no_simple_rule,
task213,3,0,0,,no_simple_rule,
task214,3,0,0,,no_simple_rule,
task215,2,0,0,,no_simple_rule,
task216,3,0,0,,no_simple_rule,
task217,3,0,0,,no_simple_rule,
task218,3,0,0,,no_simple_rule,
task219,3,0,0,,no_simple_rule,
task220,4,0,0,,no_simple_rule,
task221,4,0,0,,no_simple_rule,
task222,3,0,0,,no_simple_rule,
task223,2,1,1,upscale_x3,eligible,
task224,3,0,0,,no_simple_rule,
task225,3,0,0,,no_simple_rule,
task226,3,0,0,,no_simple_rule,
task227,4,0,0,,no_simple_rule,
task228,3,0,0,,no_simple_rule,
task229,4,0,0,,no_simple_rule,
task230,3,0,0,,no_simple_rule,
task231,3,0,0,,no_simple_rule,
task232,3,0,0,,no_simple_rule,
task233,3,0,0,,no_simple_rule,
task234,3,0,0,,no_simple_rule,
task235,4,0,0,,no_simple_rule,
task236,4,0,0,,no_simple_rule,
task237,4,0,0,,no_simple_rule,
task238,3,0,0,,no_simple_rule,
task239,4,0,0,,no_simple_rule,
task240,3,0,0,,no_simple_rule,
task241,3,0,0,,no_simple_rule,
task242,3,0,0,,no_simple_rule,
task243,3,0,0,,no_simple_rule,
task244,3,0,0,,no_simple_rule,
task245,4,0,0,,no_simple_rule,
task246,3,0,0,,no_simple_rule,
task247,6,0,0,,no_simple_rule,
task248,3,0,0,,no_simple_rule,
task249,3,1,1,hconcat_self,eligible,
task250,2,0,0,,no_simple_rule,
task251,3,0,0,,no_simple_rule,
task252,3,0,0,,no_simple_rule,
task253,2,0,0,,no_simple_rule,
task254,2,0,0,,no_simple_rule,
task255,3,0,0,,no_simple_rule,
task256,3,0,0,,no_simple_rule,
task257,6,0,0,,no_simple_rule,
task258,3,0,0,,no_simple_rule,
task259,3,0,0,,no_simple_rule,
task260,3,0,0,,no_simple_rule,
task261,3,0,0,,no_simple_rule,
task262,4,0,0,,no_simple_rule,
task263,4,1,0,,detected_but_rejected,largest_color_crop=fail: examples_checked=267; examples_failed=139; example_failures:139
task264,2,0,0,,no_simple_rule,
task265,3,0,0,,no_simple_rule,
task266,4,0,0,,no_simple_rule,
task267,2,0,0,,no_simple_rule,
task268,3,0,0,,no_simple_rule,
task269,3,0,0,,no_simple_rule,
task270,3,0,0,,no_simple_rule,
task271,4,0,0,,no_simple_rule,
task272,4,0,0,,no_simple_rule,
task273,3,0,0,,no_simple_rule,
task274,6,0,0,,no_simple_rule,
task275,3,0,0,,no_simple_rule,
task276,3,2,1,color_replacement,eligible,fill_bounding_box=fail: examples_checked=266; examples_failed=34; example_failures:34
task277,3,0,0,,no_simple_rule,
task278,2,0,0,,no_simple_rule,
task279,4,0,0,,no_simple_rule,
task280,4,0,0,,no_simple_rule,
task281,3,0,0,,no_simple_rule,
task282,2,0,0,,no_simple_rule,
task283,2,0,0,,no_simple_rule,
task284,3,0,0,,no_simple_rule,
task285,3,0,0,,no_simple_rule,
task286,2,0,0,,no_simple_rule,
task287,4,0,0,,no_simple_rule,
task288,4,0,0,,no_simple_rule,
task289,5,0,0,,no_simple_rule,
task290,3,0,0,,no_simple_rule,
task291,3,0,0,,no_simple_rule,
task292,5,0,0,,no_simple_rule,
task293,4,0,0,,no_simple_rule,
task294,2,0,0,,no_simple_rule,
task295,5,0,0,,no_simple_rule,
task296,5,0,0,,no_simple_rule,
task297,3,0,0,,no_simple_rule,
task298,3,0,0,,no_simple_rule,
task299,2,0,0,,no_simple_rule,
task300,4,2,1,largest_color_crop,eligible,largest_object_crop=fail: examples_checked=267; examples_failed=12; example_failures:12
task301,3,0,0,,no_simple_rule,
task302,3,0,0,,no_simple_rule,
task303,3,1,1,frontier_fill,eligible,
task304,3,0,0,,no_simple_rule,
task305,3,0,0,,no_simple_rule,
task306,2,0,0,,no_simple_rule,
task307,3,1,1,upscale_x2,eligible,
task308,3,0,0,,no_simple_rule,
task309,3,1,1,color_replacement,eligible,
task310,3,1,1,least_color_crop,eligible,
task311,3,0,0,,no_simple_rule,
task312,2,0,0,,no_simple_rule,
task313,3,0,0,,no_simple_rule,
task314,3,0,0,,no_simple_rule,
task315,3,0,0,,no_simple_rule,
task316,3,0,0,,no_simple_rule,
task317,2,0,0,,no_simple_rule,
task318,4,0,0,,no_simple_rule,
task319,4,0,0,,no_simple_rule,
task320,3,0,0,,no_simple_rule,
task321,5,0,0,,no_simple_rule,
task322,3,0,0,,no_simple_rule,
task323,2,0,0,,no_simple_rule,
task324,3,0,0,,no_simple_rule,
task325,3,1,1,connected_component_count,eligible,
task326,3,0,0,,no_simple_rule,
task327,3,0,0,,no_simple_rule,
task328,4,0,0,,no_simple_rule,
task329,3,0,0,,no_simple_rule,
task330,3,0,0,,no_simple_rule,
task331,2,0,0,,no_simple_rule,
task332,4,0,0,,no_simple_rule,
task333,3,0,0,,no_simple_rule,
task334,7,0,0,,no_simple_rule,
task335,3,0,0,,no_simple_rule,
task336,2,0,0,,no_simple_rule,
task337,3,0,0,,no_simple_rule,
task338,3,0,0,,no_simple_rule,
task339,4,0,0,,no_simple_rule,
task340,3,0,0,,no_simple_rule,
task341,3,0,0,,no_simple_rule,
task342,3,0,0,,no_simple_rule,
task343,3,0,0,,no_simple_rule,
task344,3,0,0,,no_simple_rule,
task345,2,0,0,,no_simple_rule,
task346,4,0,0,,no_simple_rule,
task347,5,0,0,,no_simple_rule,
task348,2,0,0,,no_simple_rule,
task349,4,0,0,,no_simple_rule,
task350,4,0,0,,no_simple_rule,
task351,3,0,0,,no_simple_rule,
task352,3,0,0,,no_simple_rule,
task353,7,0,0,,no_simple_rule,
task354,3,0,0,,no_simple_rule,
task355,4,0,0,,no_simple_rule,
task356,3,0,0,,no_simple_rule,
task357,3,0,0,,no_simple_rule,
task358,2,0,0,,no_simple_rule,
task359,3,0,0,,no_simple_rule,
task360,3,0,0,,no_simple_rule,
task361,3,0,0,,no_simple_rule,
task362,4,0,0,,no_simple_rule,
task363,3,0,0,,no_simple_rule,
task364,3,0,0,,no_simple_rule,
task365,3,0,0,,no_simple_rule,
task366,3,0,0,,no_simple_rule,
task367,3,0,0,,no_simple_rule,
task368,2,0,0,,no_simple_rule,
task369,3,0,0,,no_simple_rule,
task370,3,0,0,,no_simple_rule,
task371,2,0,0,,no_simple_rule,
task372,3,0,0,,no_simple_rule,
task373,2,0,0,,no_simple_rule,
task374,4,0,0,,no_simple_rule,
task375,3,0,0,,no_simple_rule,
task376,2,0,0,,no_simple_rule,
task377,3,0,0,,no_simple_rule,
task378,4,0,0,,no_simple_rule,
task379,3,0,0,,no_simple_rule,
task380,4,1,1,rotate270,eligible,
task381,3,0,0,,no_simple_rule,
task382,3,0,0,,no_simple_rule,
task383,3,0,0,,no_simple_rule,
task384,3,0,0,,no_simple_rule,
task385,2,0,0,,no_simple_rule,
task386,5,0,0,,no_simple_rule,
task387,4,0,0,,no_simple_rule,
task388,3,0,0,,no_simple_rule,
task389,3,0,0,,no_simple_rule,
task390,3,0,0,,no_simple_rule,
task391,4,0,0,,no_simple_rule,
task392,3,0,0,,no_simple_rule,
task393,3,0,0,,no_simple_rule,
task394,3,0,0,,no_simple_rule,
task395,5,0,0,,no_simple_rule,
task396,3,0,0,,no_simple_rule,
task397,3,0,0,,no_simple_rule,
task398,5,0,0,,no_simple_rule,
task399,8,0,0,,no_simple_rule,
task400,3,0,0,,no_simple_rule,
