path,output_path,node_count_before,node_count_after,initializer_count_before,initializer_count_after,parameter_count_before,parameter_count_after,removed_unused_initializers,deduplicated_initializers,scalar_compressed_initializers,replaced_batch_compresses,saved_parameters,changed,status,error
E:\kagglegolf\data\external\datasets\afr1ste_6335\task010.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task010.onnx,80,80,21,19,137,135,0,2,0,2,2,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task011.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task011.onnx,103,103,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task012.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task012.onnx,25,25,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task013.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task013.onnx,70,70,12,10,70,68,0,2,0,1,2,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task014.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task014.onnx,61,61,1,1,1,1,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task015.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task015.onnx,5,5,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task016.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task016.onnx,2,2,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task017.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task017.onnx,113,113,18,18,2875,2875,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task018.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task018.onnx,27,27,18,18,6750,6750,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task019.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task019.onnx,81,81,3,3,6,6,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task020.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task020.onnx,53,53,15,14,1876,1875,0,1,0,1,1,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task021.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task021.onnx,250,250,16,16,1852,1852,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task022.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task022.onnx,291,291,88,87,5971,5970,0,1,0,1,1,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task023.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task023.onnx,15,15,12,12,489,489,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task024.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task024.onnx,17,17,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task025.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task025.onnx,62,62,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task026.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task026.onnx,27,27,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task027.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task027.onnx,43,43,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task028.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task028.onnx,40,40,2,2,2,2,0,0,0,2,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task029.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task029.onnx,1018,1018,54,51,321,260,2,1,2,1,61,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task030.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task030.onnx,91,91,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task031.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task031.onnx,43,43,1,1,1,1,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task032.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task032.onnx,28,28,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task033.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task033.onnx,107,107,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task034.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task034.onnx,359,359,97,97,394,394,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task035.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task035.onnx,117,117,35,35,231,231,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task036.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task036.onnx,72,72,1,1,1,1,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task037.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task037.onnx,54,54,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task038.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task038.onnx,25,25,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task039.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task039.onnx,26,26,12,7,972,967,1,4,0,1,5,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task040.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task040.onnx,57,57,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task041.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task041.onnx,16,16,8,5,8,5,0,3,0,1,3,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task042.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task042.onnx,90,90,2,2,2,2,0,0,0,2,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task043.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task043.onnx,27,27,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task044.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task044.onnx,495,495,26,15,29,18,0,11,0,1,11,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task045.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task045.onnx,15,15,10,10,19,19,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task046.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task046.onnx,80,80,27,26,867,866,0,1,0,1,1,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task047.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task047.onnx,9,9,4,4,310,310,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task048.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task048.onnx,9,9,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task049.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task049.onnx,61,61,1,1,1,1,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task050.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task050.onnx,34,34,14,13,26,25,0,1,0,1,1,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task051.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task051.onnx,99,99,15,13,73,71,0,2,0,1,2,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task052.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task052.onnx,165,165,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task053.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task053.onnx,1,1,1,1,30,30,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task054.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task054.onnx,128,128,16,15,152,151,0,1,0,1,1,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task055.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task055.onnx,214,214,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task056.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task056.onnx,53,53,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task057.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task057.onnx,29,29,0,0,0,0,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task058.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task058.onnx,287,287,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task059.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task059.onnx,49,49,3,3,6,6,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task060.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task060.onnx,23,23,18,9,934,911,4,5,0,1,23,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task061.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task061.onnx,87,87,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task062.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task062.onnx,251,251,2,2,2,2,0,0,0,2,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task063.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task063.onnx,43,43,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task064.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task064.onnx,52,52,14,13,231,230,0,1,0,1,1,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task065.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task065.onnx,70,70,12,7,969,964,4,1,0,1,5,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task066.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task066.onnx,74,74,22,22,4447,4447,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task067.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task067.onnx,15,15,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task068.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task068.onnx,40,40,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task069.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task069.onnx,402,402,44,43,2313,2312,0,1,0,1,1,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task070.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task070.onnx,93,93,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task071.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task071.onnx,48,48,12,12,928,928,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task072.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task072.onnx,25,25,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task073.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task073.onnx,5,5,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task074.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task074.onnx,27,27,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task075.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task075.onnx,140,140,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task076.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task076.onnx,2413,2413,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task077.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task077.onnx,223,223,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task078.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task078.onnx,38,38,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task079.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task079.onnx,20,20,7,7,245,245,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task080.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task080.onnx,167,167,102,68,1284,1222,0,34,0,0,62,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task081.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task081.onnx,9,9,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task082.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task082.onnx,35,35,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task083.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task083.onnx,28,28,3,3,6,6,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task084.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task084.onnx,29,29,11,10,1024,994,0,1,0,1,30,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task085.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task085.onnx,29,29,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task086.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task086.onnx,57,57,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task087.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task087.onnx,11,11,3,3,6,6,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task088.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task088.onnx,56,56,12,12,1887,1887,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task089.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task089.onnx,2495,2495,76,59,324,298,1,16,0,1,26,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task090.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task090.onnx,249,249,43,43,106,106,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task091.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task091.onnx,64,64,0,0,0,0,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task092.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task092.onnx,46,46,3,3,6,6,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task093.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task093.onnx,70,70,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task094.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task094.onnx,72,72,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task095.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task095.onnx,17,17,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task096.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task096.onnx,23,23,12,12,16643,16643,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task097.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task097.onnx,60,60,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task098.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task098.onnx,5,5,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task099.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task099.onnx,5,5,6,6,2042,2042,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task100.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task100.onnx,175,175,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task101.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task101.onnx,306,306,5,5,21,21,0,0,0,0,0,False,reverted,"ValidationError: Graph must be in single static assignment (SSA) form, however 'sh_900' has been used as output names multiple times."
E:\kagglegolf\data\external\datasets\afr1ste_6335\task102.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task102.onnx,34,34,29,28,519,518,0,1,0,1,1,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task103.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task103.onnx,93,93,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task104.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task104.onnx,35,35,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task105.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task105.onnx,81,81,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task106.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task106.onnx,28,28,25,19,58,44,1,5,0,1,14,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task107.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task107.onnx,51,51,30,30,13681,13681,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task108.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task108.onnx,6,6,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task109.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task109.onnx,52,52,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task110.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task110.onnx,292,292,21,20,3776,3775,1,0,0,1,1,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task111.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task111.onnx,73,73,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task112.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task112.onnx,49,49,19,12,54,47,0,7,0,1,7,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task113.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task113.onnx,6,6,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task114.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task114.onnx,65,65,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task115.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task115.onnx,67,67,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task116.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task116.onnx,12,12,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task117.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task117.onnx,444,444,3,3,6,6,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task118.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task118.onnx,24,24,11,11,10041,10041,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task119.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task119.onnx,1172,1172,19,17,240,95,2,0,1,1,145,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task120.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task120.onnx,5,5,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task121.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task121.onnx,30,30,7,7,35,27,0,0,1,1,8,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task122.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task122.onnx,9,9,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task123.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task123.onnx,41,41,6,3,6,3,1,2,0,2,3,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task124.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task124.onnx,179,179,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task125.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task125.onnx,48,48,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task126.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task126.onnx,53,53,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task127.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task127.onnx,3,3,1,1,900,900,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task128.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task128.onnx,135,135,80,35,98,53,0,45,0,1,45,True,rewritten,
