Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
33,14273491,"Seung Jae Lee","2025-10-30 23:56:59",940307.000,328,"frederickvlee,nalabc,sjlee101"
34,14224242,"Ches Charlemagne","2025-10-30 16:20:58",939243.000,3,henrychibueze
35,14347058,beijijun,"2025-10-27 00:58:52",939002.000,88,"aaaqtm,beijijun"
36,14365496,"M & K","2025-10-30 20:14:58",938657.000,70,"ksenikas,mbilichenko"
37,14194453,Papaya,"2025-10-30 21:37:10",938529.000,30,x1mike7x
38,14202358,logits,"2025-10-13 15:38:31",938468.000,11,logits
39,14194450,bizy-coding,"2025-10-30 23:14:20",938355.000,22,benzydney
40,14194914,kambarakun,"2025-10-30 22:43:41",937943.000,506,kambarakun
41,14288661,taurine511,"2025-10-28 02:52:49",937810.000,81,"satodai0602,taurine511"
42,14223297,"Arma Değer Mut","2025-10-30 23:41:54",936984.000,8,armamut
43,14292582,ktm,"2025-10-30 15:00:16",936039.000,20,tmhrkt
44,14522675,Ran21050,"2025-10-26 08:00:07",935653.000,174,ran21050
45,14204675,neko_yt,"2025-10-30 22:14:46",935475.000,6,yoshihiratakahide
46,14416215,"Ty Woods","2025-10-30 23:03:15",935399.000,186,tylerfeemster
47,14196422,Reo.Nam,"2025-10-30 01:57:00",933326.000,107,reonam
48,14527628,Aurora,"2025-10-30 22:52:37",933228.000,24,jtda514115
49,14203261,N.K.,"2025-10-30 15:50:09",933029.000,11,yuiogura
50,14280702,SK,"2025-10-30 23:31:54",932557.000,125,"kenkrige,timkrige"
51,14308407,Pes,"2025-10-30 23:21:26",932085.000,24,"dgrachev28,volchegorskiynikita"
52,14488801,"burger king","2025-10-30 23:57:02",932069.000,71,"chep0k,diffractx,ppilania1985,tirlimster"
53,14320964,taigatappuri,"2025-10-30 23:42:55",931995.000,23,"flnkhome,kazumamiyashita,toraaaaa,yukkimoru"
54,14194815,rc95401,"2025-10-30 23:55:32",931832.000,311,rc95401
55,14535879,"Fugu 🐡","2025-10-30 08:55:43",931439.000,171,"tkasasagi,yujin1984"
56,14206489,HY,"2025-10-30 23:07:24",931198.000,438,"yhirakawa,yururoi"
57,14443896,"Vitaly Kudelya","2025-10-30 23:35:48",931160.000,80,vitalykudelya
58,14195654,"Ralf Bonse","2025-10-29 21:10:15",930440.000,204,ralfbonse
59,14314401,"Gabriel Mirea","2025-10-30 20:16:56",930282.000,51,gabrielmirea
60,14375392,"Emily Anna Chris Brandon","2025-10-30 23:45:49",930068.000,57,"annakazlow,brandonfairfield,chrisrussell1,emilyfairfield"
61,14202724,"A | M | P | C | A","2025-10-30 23:57:58",930063.000,472,"anglolodorf,antonyo314,elmaxuno,gothamjocker,paritoshtripathi5"
62,14197708,MinTheCode,"2025-10-30 23:57:52",929351.000,87,"emmy43262,hapricot,ioannispantidis,jvfiodar,nevolodia"
63,14434594,"Gotovtsev Artyom","2025-10-30 21:59:16",929338.000,22,artemgotovtsev
64,14434389,"Vitaly Gatsko","2025-10-30 18:08:41",929254.000,35,gatsko
65,14238999,Davidus,"2025-10-30 23:32:24",928521.000,188,davidfeigi
66,14215204,Nazar_Mykola,"2025-10-30 18:22:15",927946.000,76,havefan1234
67,14194550,john,"2025-10-15 16:11:41",926267.000,168,jaejohn
68,14485006,ymyuuuu,"2025-10-30 22:33:15",925597.000,40,"k594676,nk7016,ymyuuuu"
69,14207803,AutomaGolf,"2025-10-30 22:43:44",925489.000,54,"antoinedebouchage,axeldarmouni,guillaumelevy,juliencardinal"
70,14484171,SoedaHaruto,"2025-10-30 13:23:02",924500.000,50,soedaharuto
71,14195604,blue0620,"2025-10-30 15:56:51",924419.000,105,blue0620
72,14258128,"Nithika Balaji","2025-10-30 18:42:58",924083.000,149,nithikabalaji
73,14230040,Buran,"2025-10-30 23:52:38",923352.000,260,"alexlu,kpatel91,vovamambahop"
74,14250369,Nineso,"2025-10-30 03:31:00",923277.000,137,timothylovett
75,14309015,MYSK,"2025-10-30 18:29:20",923177.000,1311,"aquarium21,atshimamura,mxxyxx"
76,14198752,ppp,"2025-10-30 21:13:14",923017.000,25,"greylord1996,gromml,leadnvalidate"
77,14294726,Muha,"2025-10-30 19:08:44",922765.000,204,majouz
78,14483338,"Mrutyunjay Patil","2025-10-28 15:14:55",922650.000,10,patilmrutyunjay
79,14589560,"NALIN ABROL","2025-10-30 18:16:39",922134.000,36,abrolnalin
80,14286121,lalalasu,"2025-10-30 19:46:53",921754.001,3,lalalasu
81,14469694,Anna,"2025-10-30 14:21:23",921698.000,49,annafabris
82,14339965,KIT,"2025-10-28 15:15:44",921629.000,72,ray6767
83,14215863,"Ahmad Elawady","2025-10-26 15:29:54",921407.002,55,aielawady
84,14395073,Rowan,"2025-10-29 03:40:57",921314.000,32,"guixuanjiang,rowan321"
85,14195750,IC2,"2025-10-30 05:37:03",921131.000,29,jonathanchan
86,14297522,cccha、,"2025-10-30 01:06:02",920973.000,35,"cudacoding,lolhohoho,yunsuui"
87,14282805,brain-to-go,"2025-10-30 23:52:14",920780.000,51,semiquark1
88,14302259,wqzh,"2025-10-30 07:49:23",920774.000,22,weiqinzh
89,14225480,"Quantum Experts","2025-10-30 23:29:38",920654.000,78,"garrymoss,michaellcui"
90,14488820,CroDoc,"2025-10-30 23:48:41",920654.000,37,crodoc
91,14472282,"Koki Watanabe","2025-10-30 06:35:50",920487.000,44,mathhiyoko
92,14556926,"Terrence Wei","2025-10-29 03:36:30",920483.000,195,"larklearning,ruomeng17,weimingting,yifeibu,zhangjunyiaaron"
93,14227150,Aarya,"2025-10-30 12:40:42",920480.000,54,adyanthm
94,14407278,"Mike Kim","2025-10-30 23:28:52",920394.000,130,mikeskim
95,14535859,BlurreA,"2025-10-29 11:17:55",920293.000,163,"blurrea,langom,ruizhao88,vincent7779,zffffy"
96,14433547,littlehorse,"2025-10-30 16:31:17",920218.000,23,"alexia0361,fhfdgrhghj,ggufisall,ko670w,xiaomaguo"
97,14540885,DLBR,"2025-10-29 10:14:07",920192.000,124,"bellazhao2333,dereksha,laymond,llukelinnn"
98,14269845,cubbus,"2025-10-30 19:10:13",920091.000,80,cubbus
99,14429597,Austro,"2025-10-30 23:03:27",920030.000,20,austro
100,14434361,"Ryu Tomita","2025-10-30 23:37:57",919928.000,5,rtomita
101,14373948,JaimeF,"2025-10-26 14:37:02",919870.000,20,druidh
102,14196676,MKRC,"2025-10-30 23:41:15",919811.000,70,rram12
103,14494918,"Xinyu Wu","2025-10-29 13:41:04",919703.000,164,"binniwang,charles20040219,frankshi666,xinyuwu06,yuhuiyao"
104,14194762,Ryota,"2025-10-30 23:34:04",919260.000,42,ryotak12
105,14519987,"Eng Adam Al mohammedi","2025-10-30 23:31:44",918920.000,22,engadamalmohammedi
106,14211647,Kaiser,"2025-10-30 09:33:58",918825.000,81,"hiwe0305,snnguynvnk19hl"
107,14212711,"Azat Akhtyamov","2025-09-18 01:20:27",918804.000,92,azakhtyamov
108,14200038,Ali,"2025-10-30 18:16:19",918611.000,361,asalhi
109,14214250,"Roman Vygon","2025-10-30 08:44:25",918605.000,39,elpres1dente
110,14565922,"Ryan Dong","2025-10-30 21:34:11",918592.000,68,"haroldren,quantllm,yinjiachao666,zhiqiangtian13184"
111,14194711,today,"2025-10-30 20:37:58",918581.000,279,"takumatoda,today55"
112,14505200,Mathemortician,"2025-10-30 22:04:19",918294.000,78,mathemortician
113,14507538,shawloong,"2025-10-24 14:13:00",918007.000,26,shawloong
114,14372852,"Abdelmoneim Desouki","2025-10-30 20:29:51",917931.000,100,amadesouki
115,14362348,Logging,"2025-10-30 20:23:08",917770.000,40,"gertrute,kangkyu"
116,14420589,"Peep devs","2025-10-30 23:55:55",917721.000,104,"godwinolagunju,timilehinoladejo,timmyafolami"
117,14312164,"Zheng Li 2020","2025-10-30 23:47:19",917637.000,12,zhengli2020
118,14566102,"Song Xiaoya","2025-10-30 21:55:02",917626.000,67,"daledew,hejingdan,songxiaoya,willimzeng"
119,14528914,cununn,"2025-10-27 09:55:36",917589.000,9,w007425y
120,14284877,"Tomek Porozynski","2025-10-30 20:54:57",917512.000,37,ontaptom
121,14313690,"kavitha G","2025-10-30 22:35:32",917437.000,21,kavisekar
122,14433190,"Nat Bel ML Fun","2025-10-30 19:24:32",917291.000,65,natbel4ml
123,14428858,"Luke Gartland","2025-10-30 21:39:47",917043.000,58,lukegartland
124,14351108,"perpetual motion machine","2025-10-30 12:57:33",916979.000,66,aristotlechen
125,14432237,"Junhua Yang","2025-10-30 23:13:41",916882.000,237,junhuay
126,14194804,kaerururu,"2025-10-30 23:35:32",916824.000,177,kaerunantoka
127,14259786,"Masashi Nishimoto","2025-10-30 18:05:55",916633.000,124,masashinishimoto
128,14390395,zentropy,"2025-10-30 21:38:01",916532.000,171,jessky
129,14578040,myssiq,"2025-10-30 22:46:58",916266.000,74,"myssiq,ronqee,williamxie111,zlyric"
130,14385369,blob282,"2025-10-30 23:24:01",916221.000,9,"blob282,jilim6,omarorajain"
131,14586324,FDU_eblab,"2025-10-30 16:17:44",916197.000,28,"wstdddsz,yufanwenshu,zzy0608"
132,14228334,GGilch76,"2025-10-07 22:30:42",916182.000,7,ggilch76
133,14385945,Turner,"2025-10-30 19:51:33",916180.000,161,kerta27
134,14525053,"Ralph Neumann","2025-10-30 19:29:48",916163.000,103,xscripter
135,14553367,Raki,"2025-10-30 22:32:53",916139.000,9,raki21
136,14215579,batbot,"2025-10-30 19:09:09",916098.000,57,savanjaviya
137,14196392,rucin93,"2025-10-30 17:26:28",915966.000,262,rucin93
138,14576556,MAK&TH,"2025-10-30 18:31:44",915892.000,18,"maaz101,syedtahahassan"
139,14430611,"Rob Freeman","2025-10-30 01:55:29",915800.000,17,rob1080ti
140,14228648,"Ye Thu","2025-10-30 19:08:53",915572.000,19,yethukmutt
141,14540122,"Steve Le (Solokop)","2025-10-30 17:18:36",915534.000,156,solokop
142,14278917,"Bora Erkılıç","2025-10-30 21:31:50",915508.000,53,boraerkl
143,14194780,chris,"2025-10-30 23:05:31",915490.000,8,chris62
144,14217367,vitruvius,"2025-10-23 09:22:50",915366.000,1,dkeyes
145,14243247,ancientLuck,"2025-10-30 20:36:17",915229.000,18,ancientluck
146,14194850,Yone,"2025-10-30 01:12:17",915023.000,48,theunforgiven7
147,14372384,"Yangguang Wei","2025-10-30 18:04:47",914784.000,108,charliewey
148,14532345,Ozi,"2025-10-26 08:23:49",914772.000,2,muhammaduzair21
149,14571099,hiu,"2025-10-30 13:21:05",914711.000,8,dwiwidjanarko
150,14462086,zzllusa,"2025-10-29 18:46:50",914584.000,111,zzllusa
151,14545598,tacorice,"2025-10-30 23:51:04",914483.000,75,atagiyuya
152,14347398,"Tsubasa Kanno","2025-10-30 14:28:06",914168.000,114,tsubasatech
153,14226440,"Teodor-Florin Butnaru","2025-10-30 17:57:48",914113.000,12,teodorflorinbutnaru
154,14387159,Disgon,"2025-10-30 08:25:47",914073.000,454,vbardiovsky
155,14280236,naturalseeker,"2025-10-29 17:10:49",914046.000,7,naturalseeker
156,14214094,"Tomoki Hirose","2025-10-09 18:29:35",914016.000,11,tomokihirose
157,14197258,CyrusAI,"2025-10-30 11:26:12",914014.000,55,jamalsaeedi
158,14197419,"PRIYANSHU PRAJAPATI","2025-10-30 23:47:46",913909.000,33,pentesterpriyanshu
159,14273821,GUOHAOYANG,"2025-10-30 19:20:39",913865.000,46,pkuszboi
160,14434284,AkiraIshikawa,"2025-10-30 21:39:08",913783.000,147,akiraishikawa
161,14502401,pyten,"2025-10-30 08:19:28",913688.000,6,sunnyrainbow
162,14310179,beez,"2025-10-30 23:32:01",913658.000,19,zayyyy
163,14447254,"Mahmoud Elshahed","2025-10-30 23:37:30",913589.000,35,letemoin
164,14579539,Potrhino,"2025-10-30 23:53:47",913548.000,21,"potrhino,sampot"
165,14316096,Kirderf,"2025-10-30 18:53:45",913542.000,32,kirderf
166,14274703,PatternX,"2025-10-30 18:14:35",913531.000,83,"dinethshakya,isharaekanayaka,kusaljayawardhana,phsdulara,rodgerjay"
167,14577891,"Kaggle Kings","2025-10-30 23:21:05",913520.000,23,"christianschulte,isaacbilsel,yongxianglyu"
168,14197352,"Hu Xingyu","2025-10-30 19:20:46",913517.000,292,huxingyu
169,14537845,"All You Can Debug","2025-10-30 18:29:50",913484.000,14,"k0ngkim,zhengyang66"
170,14516364,"Fahd EL ANSARI","2025-10-30 23:56:32",913465.000,9,fahdelansari
171,14396655,HaoYANG7,"2025-10-30 17:16:12",913449.000,3,"ebenlu,haoyang7"
172,14195831,"Kamal Das","2025-10-30 17:43:58",913449.000,61,kmldas
173,14388640,"Veniamin Nelin","2025-10-30 17:44:25",913449.000,27,veniaminnelin
174,14375400,"Michelle Zhou","2025-10-30 17:53:33",913449.000,54,michelle314
175,14517837,"New bee","2025-10-30 17:54:41",913449.000,11,shenshiyun
176,14541355,"Juan Leiva","2025-10-30 17:55:43",913449.000,31,juank333
177,14262843,"Soetsu Shida","2025-10-30 18:05:00",913449.000,5,soetsushida
178,14559386,"Zhang Haonan","2025-10-30 18:22:56",913449.000,11,zhhaon
179,14406042,"yuanzhe zhou","2025-10-30 18:12:48",913449.000,15,yuanzhezhou
180,14195822,Taka007,"2025-10-30 18:17:03",913449.000,1,takahironamatame
181,14197762,卩ﾑ尺ｲん,"2025-10-30 23:35:21",913449.000,127,nihilisticneuralnet
182,14449622,"Pierre Tisseur","2025-10-30 21:43:14",913449.000,37,pierretisseur
183,14419751,"Aliffa Agnur","2025-10-30 18:21:06",913449.000,11,aliffaagnur
184,14211151,takaito,"2025-10-30 18:22:45",913449.000,41,takaito
185,14205376,mcwema,"2025-10-30 18:50:10",913449.000,299,mcwema
186,14195263,"Ravi Ramakrishnan","2025-10-30 18:58:06",913449.000,95,ravi20076
187,14495575,"Khin Kaung San Thu Tun","2025-10-30 18:59:31",913449.000,5,khinkaungsanthutun
188,14337028,"Hussein Dawood","2025-10-30 19:14:40",913449.000,13,hussiendaoud
189,14194942,"Sedat GOLGİYAZ","2025-10-30 23:57:36",913449.000,43,sedatgolgyaz
190,14556026,TrinhDung16,"2025-10-30 19:35:05",913449.000,23,trinhdung16
191,14225836,Chalamalabingbong,"2025-10-30 19:35:39",913449.000,64,"akhilsrinivasp,arunmanij,shriramgunasekar"
192,14204442,"Pavel Pavlov","2025-10-30 19:38:21",913449.000,58,akakii
193,14575772,"Igor V","2025-10-30 19:43:45",913449.000,43,rostigor
194,14496376,"Kabir Potdar","2025-10-30 19:45:05",913449.000,1,kabir01010
195,14340209,Mehrdad_LU,"2025-10-30 20:03:47",913449.000,79,mehrdadal2023
196,14262259,Golfie,"2025-10-30 20:17:20",913449.000,9,datafad
197,14459760,MalharUjawane,"2025-10-30 20:31:03",913449.000,5,justmalhar
198,14263652,OzanM.,"2025-10-30 20:33:31",913449.000,70,analyticaobscura
199,14206092,"Manav Trivedi","2025-10-30 21:02:47",913449.000,46,manavtrivedi
200,14195075,kglctf,"2025-10-30 23:06:37",913449.000,676,kglctf
201,14196324,"William Guesdon","2025-10-30 21:30:07",913449.000,61,wguesdon
202,14263719,akoynk,"2025-10-30 21:40:28",913449.000,20,akoynk
203,14203404,"Octavi Grau","2025-10-30 21:57:24",913449.000,64,octaviograu
204,14221980,"Vicens Gaitan","2025-10-30 22:16:33",913449.000,95,vicensgaitan
205,14202432,yuki16,"2025-10-30 22:54:35",913449.000,18,yuki16
206,14217748,"Albert Wang","2025-10-30 23:00:31",913449.000,6,mianwang1024
207,14484597,"Shunsuke Hayashi1993","2025-10-30 23:17:56",913449.000,18,shunsukehayashi1993
208,14203393,yestinsong,"2025-10-30 23:19:31",913449.000,24,yestinsong
209,14578150,jolvexy,"2025-10-30 23:28:23",913449.000,1,"brixonn,delta47x,jolvexy,zyfenn"
210,14575705,"Takahiro Saito","2025-10-30 23:37:35",913449.000,3,takahiro3110
211,14331908,Rouiou,"2025-10-30 23:40:06",913449.000,22,rouiou
212,14206802,"Mathurin Aché","2025-10-30 20:00:19",913448.000,24,mathurinache
213,14232180,"Most of things on luck!","2025-10-30 21:20:11",913442.000,100,"andrespq,muhammaddanyalmalik"
214,14546550,takezenk01,"2025-10-30 08:44:44",913372.000,24,takezenk01
215,14423304,"Qing Yang","2025-10-30 03:12:31",913362.000,44,drqingyang
216,14223931,JRSSKumarD,"2025-10-30 03:11:16",913362.000,44,jrsskumard
217,14469131,"Dmitriy Ch","2025-10-30 03:25:29",913362.000,19,dmitriych
218,14412529,"Lucas Tao888","2025-10-30 13:26:39",913362.000,19,lucastao888
219,14195243,AC,"2025-10-30 17:49:36",913362.000,73,ahsuna123
220,14438854,yk123424,"2025-10-30 04:13:34",913362.000,7,yk123424
221,14195028,Leo,"2025-10-30 05:07:54",913362.000,34,leo123321
222,14242191,"aha_Yann Zhenxuan","2025-10-30 09:08:14",913362.000,13,yannzhenxuan
223,14363167,MohammedM0iz,"2025-10-30 06:39:11",913362.000,15,mohammedm0iz
224,14490584,"Kotala Kishan Reddy","2025-10-30 17:52:38",913362.000,26,kotalakishanreddy
225,14466634,IITRPR_AIZ0007,"2025-10-30 07:51:18",913362.000,25,devkumarbiswas
226,14399953,"ryzen Liu","2025-10-30 14:44:37",913362.000,10,ryzenliu
227,14562586,"Haohan Tsao","2025-10-30 08:46:48",913362.000,5,haohantsao
228,14400672,"Guntas Dhanjal","2025-10-30 09:31:22",913362.000,10,guntasdhanjal
229,14407124,"yr 10","2025-10-30 10:27:12",913362.000,174,rc7530
230,14405060,"kwon yong deuk","2025-10-30 13:42:58",913362.000,38,kwonyongdeuk
231,14564235,"Shawn Juyang Ke","2025-10-30 12:37:02",913362.000,23,shawnjuyangke
232,14216738,Vibhatsu,"2025-10-30 12:42:41",913362.000,14,vibhatsu
233,14585655,"Trung Phạm02","2025-10-30 15:06:40",913362.000,7,trungphm02
234,14565654,"Jugal Marfatia","2025-10-30 15:14:37",913362.000,2,jmarfati
235,14342827,jameszeng809,"2025-10-30 15:36:00",913362.000,9,jameszeng809
236,14235144,"Marek Nurzynski","2025-10-30 16:07:20",913362.000,46,marek3000
237,14497015,"Azamat Baiganin","2025-10-30 16:26:56",913362.000,70,"azamatbaiganin,baidalinadilzhan"
238,14216433,Dex,"2025-10-30 16:55:41",913362.000,6,dexhunter
239,14343430,qnqn1927,"2025-10-30 16:37:20",913362.000,10,qnqn1927
240,14301067,mogura2.0,"2025-10-30 16:48:54",913362.000,31,mogura20
241,14376852,"Ahmed Mostafa","2025-10-30 17:45:04",913359.000,11,republic966
242,14546614,WWzhhzWW,"2025-10-29 07:11:52",913356.001,24,wwzhhzww
243,14438901,ByteField,"2025-10-30 09:54:06",913344.000,47,datapath01
244,14194753,lytCNAORevision2018,"2025-10-30 11:30:43",913330.000,18,lytcnaorevision2018
245,14464976,"Sai Venkata Ganesh Bandaluppi","2025-10-30 16:31:46",913321.000,52,saivenkataganeshb
246,14336186,"DaoHe Liu","2025-10-30 13:24:42",913321.000,22,daoheliu
247,14330526,"Hiểu Vy","2025-10-30 13:42:49",913321.000,2,thangnm1
248,14222091,"C R Suthikshn Kumar","2025-10-30 15:57:31",913321.000,14,crsuthikshnkumar
249,14261418,OverfitOracle,"2025-10-30 14:07:47",913321.000,123,alisalmanrana
250,14516506,"Rohan Norden","2025-10-30 14:18:04",913321.000,2,rohannorden
251,14320792,Sudharsan,"2025-10-30 14:51:35",913321.000,11,sidreyas25
252,14271315,Nandakumar825,"2025-10-30 06:04:49",913237.003,4,nandakumar825
253,14511015,kk.sky.9k,"2025-10-30 01:07:19",913211.000,65,kksky9k
254,14222860,SY,"2025-10-30 01:23:46",913211.000,4,vesten006
255,14303016,Kousuke555,"2025-10-30 02:57:45",913211.000,9,kousuke555
256,14210602,"Charismatic Pizza Party🍕","2025-10-30 01:51:36",913211.000,34,debugendless
257,14231440,ST_nokin,"2025-10-30 02:02:17",913211.000,7,stnokin
258,14374072,"yemao ye","2025-10-30 02:18:25",913211.000,30,yemaoye
259,14371752,GMMMMM,"2025-10-30 02:18:35",913211.000,45,wkcwkc
260,14197475,"Prashant Kikani","2025-10-30 02:26:01",913211.000,4,prashantkikani
261,14321764,"Alexander Lai","2025-10-30 02:51:31",913211.000,42,alexanderlai
262,14546399,"SAMIUL ISLAM","2025-10-30 02:52:20",913211.000,12,samiulislam180041221
263,14207483,e0nia,"2025-10-30 16:15:18",913211.000,42,madhusudhananaidu
264,14206096,"Adil Shamim","2025-10-30 07:25:54",913211.000,20,adilshamim8
265,14210099,"Vaibhav Sharma","2025-10-30 08:17:00",913211.000,4,vaibhavsharma3012
266,14558707,xj,"2025-10-30 10:45:37",913211.000,5,xjj1234
267,14195510,creasac,"2025-10-30 11:16:41",913211.000,2,timsinadipesh
268,14418588,guochangZhang,"2025-10-30 11:28:10",913211.000,3,guochangzhang
269,14228552,lhw0314,"2025-10-30 11:34:32",913211.000,34,lhw0314
270,14244517,"Niranjan Nakkala","2025-10-30 12:27:10",913211.000,4,niranjanmudhiraj
271,14204107,Y.L.,"2025-10-30 13:44:46",913211.000,22,likedl88
272,14213961,xsong2020,"2025-10-30 15:57:46",913211.000,4,xstargate
273,14387236,datnt114,"2025-10-29 15:56:32",913178.000,8,kingkong153
274,14584131,"Rotation Theory","2025-10-29 17:47:18",913178.000,10,mikhsank
275,14263506,DiMindy,"2025-10-29 16:57:18",913178.000,76,"dimindy,konstantinboyko"
276,14290018,"Nazura Wirayuda Tama","2025-10-30 18:04:31",913178.000,19,nazurawirayudatama
277,14217439,taopy2,"2025-10-29 17:45:10",913178.000,32,taopy2
278,14337740,"Nikita Gajbhiye30","2025-10-29 18:26:43",913178.000,5,nikitagajbhiye30
279,14196711,shash,"2025-10-29 20:13:34",913178.000,23,zshashz
280,14285774,a_iida,"2025-10-29 20:24:03",913178.000,20,lk8403i
281,14373834,r1ck.sync,"2025-10-29 22:30:40",913178.000,2,r1cksync
282,14256112,"Joakim Arvidsson","2025-10-29 23:50:20",913178.000,2,joebeachcapital
283,14445559,"Alex Roubinchtein","2025-10-30 01:04:34",913178.000,32,alexroubinchtein
284,14556334,"Maxim Gerasimov","2025-10-30 12:50:28",913178.000,5,mygaps
285,14383114,"Varun Rao","2025-10-29 23:14:38",913167.000,27,varunraosfanlkan
286,14463943,"Chenyu Wang","2025-10-28 20:42:51",913055.000,33,ataraxyyeah
287,14196678,muyouqian4,"2025-10-22 08:19:37",912974.001,93,muyouqian4
288,14586647,"chuhao zeng","2025-10-27 22:21:59",912930.000,22,chuhaozeng
289,14549126,"Sky kun","2025-10-30 08:24:03",912915.000,13,skykun
290,14261720,hjmkt,"2025-10-26 13:01:35",912766.000,553,hajime3126
291,14478012,shige,"2025-10-29 10:37:18",912714.000,30,shigechan
292,14504868,"jakob landa","2025-10-27 03:23:41",912712.000,11,jakoblanda07
293,14540700,wuliao_0,"2025-10-27 02:08:22",912712.000,3,wuliao0
294,14448355,星光,"2025-10-28 12:46:49",912712.000,13,zhuguanghua
295,14582305,uhey,"2025-10-27 06:38:36",912712.000,15,pepushi
296,14370577,"Prince of Lanling","2025-10-27 05:24:08",912712.000,12,zjm271441
297,14584706,ZIRENLI0611,"2025-10-27 05:39:02",912712.000,5,zirenli0000
298,14440098,wwwwzz,"2025-10-27 05:48:29",912712.000,7,wwwwzz
299,14209276,AAElter,"2025-10-27 06:51:21",912712.000,80,aaelter
300,14399606,eulogy_henu,"2025-10-28 02:37:23",912712.000,50,eulogy
301,14197728,"[Deleted] 5805531b-4abc-448b-9498-f87440c89e68","2025-10-27 08:20:14",912712.000,115,suryamilenial
302,14541700,"jiashuo Ma","2025-10-29 11:03:13",912712.000,25,ooo876
303,14563086,"Abdur Rahim","2025-10-27 18:01:20",912712.000,5,rahim3
