source,task_id,onnx_path,container,sha256,size_bytes,extract_status
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task008,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task008.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task008.onnx,1b727efaffb8b86ec51d02f9be90368d6d5d96bb716dc9e573950f419498238c,109181,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task009,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task009.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task009.onnx,89dcd2a3990559cf8dedc746d54743f130c660c64be7387480f21d7f3da65ecb,30710,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task010,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task010.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task010.onnx,a5dd47c7b1bf11a5f9b073d7147d66749b67169969a9eb7befc020d4dc21116f,6061,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task011,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task011.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task011.onnx,02738e0a9d07633b9e94f2a6894d0fb15d30662c1a910ec05767481ee6067237,10283,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task012,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task012.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task012.onnx,2b06d60fd91d709f8698853a3d24aecfc975b49366bf6f53e978bc439b912912,1516,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task013,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task013.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task013.onnx,5c1c83ac40b9ef822e94cec836562b71a9991272e75bb7fab8aea9b0f60ac988,22727,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task014,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task014.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task014.onnx,8dcff75a795bbdb7fdea2215852efe196e7ae1f56140d50fb72c35e47de2b37b,3676,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task015,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task015.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task015.onnx,5298875cb87fee542792b88d56d2688ca1d99744ca73d68a5b42fd3c48f2b511,3834,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task016,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task016.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task016.onnx,fb83a8e988f586009bf17279b7aedb194e3492a8e6f357be6d5e9ed903615733,158,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task017,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task017.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task017.onnx,2b541064f3247a97c81450ff37aba93b2b20d698d809944b96b3b71abbc61e5d,10614,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task018,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task018.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task018.onnx,64808870a76b7223f8b7fcc999c0e407c9f458c537ad3a6666389444608c867d,49368,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task019,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task019.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task019.onnx,9f3a2cdd58314196489cd1f2f1780ab916af1f4173975983b8e413e222d1b10b,4030,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task020,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task020.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task020.onnx,58711cc5614c3f7311c14e4063e1bbbe18abee07b2a521df4f503c8514712432,14783,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task021,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task021.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task021.onnx,2bbb09d35103ef6bf1895fdfe96bc21eb8fa7b007b0d566f725ec6e80403f02f,29463,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task022,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task022.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task022.onnx,86ed2f9590f5c377c59a6b1b311d6a8b5cbca93794095fbe57a339149fdca7e4,45108,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task023,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task023.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task023.onnx,a1bee796124fe076749eedf5b868a09397d4c89815da9bb6866ea225d62f678e,2838,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task024,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task024.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task024.onnx,22052d16dac9de6c9e8c4c12a415c3364b437b3c60e55155a930fb97e8da5360,2232,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task025,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task025.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task025.onnx,a0779740048817fb85b6ea49662a2e833055b21b3c01ef2fd208453ec74dfadc,61508,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task026,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task026.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task026.onnx,f0076eada195b9fecaae2df277ed6b92e720afcf73bc8ec95617f016ccd315bd,1613,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task027,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task027.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task027.onnx,bb1889e616967efa88c1ebd85c814cec77403015052951b34ba3aaaa8506a725,31128,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task028,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task028.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task028.onnx,92114b35d2a986133f253a067636dc701aa8b43eeaff05a202086d8792dff4f2,2587,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task029,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task029.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task029.onnx,8f0c83287b0d7a1c3531f35c46fc109e2fa0ee03519eba7821f3aa427dffb9ff,12396,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task030,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task030.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task030.onnx,6441058699e1e784e2f23701a1f9778635425df7ae25f08cd9ec121c6b55e54d,9573,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task031,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task031.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task031.onnx,426f304a614652d55a6654099512ddec3ee6ea2b2de65a3ef1b763f842af7cc8,2899,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task032,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task032.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task032.onnx,7136b0ebf177a865135a24d9b3dd74faed9d385a19eecacb2bc78a52c18fdc3a,1662,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task033,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task033.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task033.onnx,3cb1cc2cde668822646661ef3d5cd0708320ef780c07859f20a6ab048328354b,1311,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task034,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task034.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task034.onnx,4b6a00bc8e6cbb35de0a88c7b7a38fd5a84a6853d072e2a0b14155fb01d06360,13710,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task035,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task035.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task035.onnx,b89dac7e22236a4141126a9d09aa948bb11c5e1584331818dddab2567d4e107c,9397,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task036,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task036.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task036.onnx,73c1f61cf94442d15ebed269cf27dbbf6170da32a324e9e6eb8d8683e724d69a,5765,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task037,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task037.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task037.onnx,eb6b6882690d864c49b729611d83c91a528ea8eb3ca59f83beb5c2438e6553c5,10137,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task038,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task038.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task038.onnx,6b37b92ae8e61c639cc632461d5bf23ebf80a1cbc81dd1df2b96146777e85804,1812,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task039,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task039.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task039.onnx,bd23fe9a19b14e7747ead4ad7e50aab250e98016c5f51c7e22a4154906f07a0c,1675,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task040,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task040.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task040.onnx,41a1af8deec9385f65c3be99ecc3828d457b910f27d038fdb6d4e0713653b338,4750,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task041,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task041.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task041.onnx,c8936aedbfff5d9fafa85c13ec648e01d71add20345341c0a356e5a9d0185df9,1313,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task042,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task042.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task042.onnx,d9d3f8d9557e32d63a3eda53dec371d4c58b3423da801b1b54637d9b6ef65157,9477,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task043,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task043.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task043.onnx,6f4912ba357a701bb9a3354d70f8911d9b0d6aac68fe3b052c31e4b98023dc41,1628,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task044,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task044.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task044.onnx,da7318b53306d1c308e01087954b8773f452fb07baf5cecf8488ca21b6b4dc11,25359,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task045,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task045.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task045.onnx,9f1719c7516f3fbea49baf34a49b6c8ffe5d42f49cc7aa13237574499286df5a,932,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task046,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task046.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task046.onnx,f156b1573878d7a6680e2d4b29b1b42a41c7763c23fc86894d3b7a08f015d150,8947,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task047,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task047.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task047.onnx,3b50a81c3aebc6fe67cd16e40f0fef8ace7e7b48347c986b718a31e4348fd435,2241,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task048,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task048.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task048.onnx,5776d1271d480d979454d9d3e80aba5ad41060304cdc1d2731f170987e96912f,5977,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task049,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task049.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task049.onnx,8e964caa5a6c951b7b61bf23b7e2cbb1f126b7b1696ae66470b646daf4ce67fd,2631,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task050,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task050.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task050.onnx,81a8802fc80cc2fbc8ec120311306bb355ce997c2bd901eca780e638a42914d2,1852,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task051,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task051.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task051.onnx,33b4a2da860296c1df7592b89b618c0991f58e7922f8b1f0f680a2e5d640a90e,8540,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task052,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task052.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task052.onnx,d677b832e4ea089b2811c4f05eac0e564384e3e59be7921ecfd6836caf3b7bbc,959,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task053,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task053.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task053.onnx,fbe183eff0657de9d1fc60b1b62780e11bc125c1b40dd7c264f98efca85d8749,183,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task054,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task054.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task054.onnx,792476daea17ee9b5bd55d84f129e9502dacf9fcb9530715703dafdcccd1e79a,8955,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task055,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task055.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task055.onnx,d1db66147c9391e00e3dbe267579a44bedbc796375c4f1139d813d5e72597cbc,20952,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task056,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task056.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task056.onnx,0388042d5f344f620ccc4376963538e54adba3858fef8a7da9b6a8206d546553,1471,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task057,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task057.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task057.onnx,f03fc78b4f825bfd4f23801ad974dff1c87bcc0fa85f387dce20f2ae383e1e49,1453,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task058,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task058.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task058.onnx,42fd97126f427d5bd1dbf08efe99d64f452198693b4e702c14d937e008fcda88,61862,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task059,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task059.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task059.onnx,42f195ecea695805161a045ba9c563b5c3cbe83856eaaad3514c37ef7f1be62c,12046,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task060,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task060.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task060.onnx,4bda1d762aca2acd7db6204b3dbc87458c37b7ed64a750eeadfc0a8283801025,2234,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task061,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task061.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task061.onnx,63e97dbd4379f854f5c705378caaa81e70bc90a67ba8829f9fea1d5b126825cd,16988,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task062,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task062.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task062.onnx,49ddfb59c42468236393b80426487a71f1a2b54b5030b69d9e3564da8bd791cb,14313,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task063,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task063.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task063.onnx,123552e51923e19a4389ec717edd29361641fd8a46c5e0de597cead76fb5350c,2387,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task064,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task064.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task064.onnx,e1d75c039b5b20eaf258920a48c995898be0e0bfd8294770938d399d5c0fa85d,4579,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task065,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task065.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task065.onnx,d1f4ba61ceeb5bfca9fadfb7a3f384108ea25e38c5ab12ad3eabded2402a2bde,1944,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task066,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task066.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task066.onnx,5ae18186ef02bcdf01966b3a1ee88c292cf6fc034bd01e1efdfed2ea94acc5ac,22387,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task067,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task067.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task067.onnx,1f47fee4be9b440e6c41ad184e9bf58a3b5bf3b5eee21db910460def0f2f5c99,630,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task068,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task068.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task068.onnx,69488394416bdbd0ee6b6bb685ec0a4e825ab44766923200765b3d7960ba1c91,1520,direct
